Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.612077	1.000000	0.885745
g2	+	g1	0.552929	1.000000	0.800152
g3	+	g1	0.060994	0.055004	0.004855
g4	+	g1	0.022967	0.052033	0.001729
g5	-	g1	-0.024101	0.056435	-0.001968
g6	+	g1	0.007319	0.011215	0.000119
g7	+	g1	0.075452	0.116629	0.012734
g1	+	g2	0.512281	1.000000	0.741329
g2	+	g2	0.545190	1.000000	0.788953
g3	+	g2	0.195148	0.999969	0.282392
g4	+	g2	0.014359	0.047335	0.000984
g5	+	g2	0.010482	0.026710	0.000405
g6	+	g2	0.006747	0.012401	0.000121
g7	+	g2	0.112620	0.285506	0.046530
g1	+	g3	0.162528	0.015449	0.003634
g2	+	g3	0.230328	0.768307	0.256085
g3	+	g3	0.691030	1.000000	1.000000
g4	+	g3	0.310165	1.000000	0.448844
g5	+	g3	0.007806	0.030777	0.000348
g6	+	g3	0.022572	0.022272	0.000728
g7	+	g3	0.043651	0.045186	0.002854
g1	+	g4	0.010906	0.054527	0.000861
g2	+	g4	0.036988	0.050521	0.002704
g3	+	g4	0.337991	1.000000	0.489111
g4	+	g4	0.671655	1.000000	0.971962
g5	+	g4	0.306031	1.000000	0.442862
g6	+	g4	0.019050	0.026293	0.000725
g7	+	g4	0.115923	0.193892	0.032526
g1	+	g5	0.013832	0.041179	0.000824
g2	-	g5	-0.026029	0.091264	-0.003438
g3	+	g5	0.092314	0.033635	0.004493
g4	+	g5	0.373984	1.000000	0.541197
g5	+	g5	0.579826	1.000000	0.839075
g6	+	g5	0.338647	1.000000	0.490061
g7	+	g5	0.137538	0.244883	0.048740
g1	+	g6	0.068095	0.038257	0.003770
g2	-	g6	-0.062916	0.345472	-0.031454
g3	+	g6	0.025266	0.050465	0.001845
g4	+	g6	0.056378	0.058093	0.004740
g5	+	g6	0.308595	1.000000	0.446572
g6	+	g6	0.453084	1.000000	0.655664
g7	+	g6	0.260068	0.992432	0.373500
g1	+	g7	0.016640	0.114257	0.002751
g2	-	g7	-0.004125	0.062403	-0.000372
g3	+	g7	0.010870	0.079041	0.001243
g4	+	g7	0.014390	0.084555	0.001761
g5	+	g7	0.003197	0.034051	0.000158
g6	+	g7	0.165762	1.000000	0.239876
g7	+	g7	0.177466	1.000000	0.256813
