Gene1	Gene2	EdgeWeight
g1	g1	1.0
g3	g3	1.0
g6	g7	1.0
g6	g6	1.0
g5	g6	1.0
g6	g5	1.0
g5	g5	1.0
g4	g5	1.0
g5	g4	1.0
g2	g1	1.0
g3	g4	1.0
g4	g3	1.0
g4	g4	1.0
g1	g2	1.0
g2	g2	1.0
g7	g7	1.0
g3	g2	0.999969
g7	g6	0.992432
g2	g3	0.768307
g2	g6	0.345472
g7	g2	0.285506
g7	g5	0.244883
g7	g4	0.193892
g7	g1	0.116629
g1	g7	0.114257
g2	g5	0.091264
g4	g7	0.08455499999999999
g3	g7	0.079041
g2	g7	0.062403
g4	g6	0.05809299999999999
g5	g1	0.056435
g3	g1	0.055004
g1	g4	0.054527
g4	g1	0.052033
g2	g4	0.050520999999999996
g3	g6	0.050464999999999996
g4	g2	0.047335
g7	g3	0.045186000000000004
g1	g5	0.041179
g1	g6	0.038257
g5	g7	0.034051
g3	g5	0.033635000000000005
g5	g3	0.030777
g5	g2	0.02671
g6	g4	0.026293
g6	g3	0.022272
g1	g3	0.015449000000000001
g6	g2	0.012401
g6	g1	0.011215000000000001
