Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g5	g4	0.534670755976095	6.46924185837825e-148
g4	g5	0.534670755976095	6.46924185837825e-148
g4	g3	0.464939906766648	1.50155686011467e-107
g3	g4	0.464939906766648	1.50155686011506e-107
g6	g5	0.319373347332628	1.53506710745299e-48
g5	g6	0.319373347332628	1.53506710745299e-48
g7	g6	0.128261011761308	8.97721313357551e-09
g6	g7	0.128261011761308	8.97721313357561e-09
g3	g2	0.125760232009985	1.74043084517322e-08
g2	g3	0.125760232009985	1.74043084517323e-08
g5	g7	0.0656362852068651	0.00335705993829808
g7	g5	0.065636285206865	0.0033570599382981
g2	g6	0.0605926992801897	0.00678554257161589
g6	g2	0.0605926992801897	0.0067855425716159
g4	g1	0.0516336747608644	0.0210920358329258
g1	g4	0.0516336747608643	0.0210920358329259
g4	g2	0.0487871060114796	0.0293295470377562
g2	g4	0.0487871060114796	0.0293295470377562
g6	g3	0.0372881897764403	0.0959071800799202
g3	g6	0.0372881897764403	0.0959071800799202
g3	g5	0.0326827135935657	0.144492975704813
g5	g3	0.0326827135935656	0.144492975704813
g2	g1	0.0324615752985306	0.147230592813431
g1	g2	0.0324615752985306	0.147230592813431
g5	g1	0.0141614813080337	0.527279840318512
g1	g5	0.0141614813080337	0.527279840318513
g4	g6	0.0140442887587977	0.530703902625357
g6	g4	0.0140442887587976	0.530703902625358
g7	g4	0.00705357640370957	0.752869903239046
g4	g7	0.00705357640370957	0.752869903239046
g2	g7	0.000460190370805051	0.983611234480309
g7	g2	0.000460190370805046	0.983611234480309
g1	g3	-0.00275681287163736	0.902061745661415
g3	g1	-0.00275681287163738	0.902061745661414
g7	g3	-0.0194080469420979	0.38626705230684
g3	g7	-0.0194080469420979	0.386267052306839
g7	g1	-0.0204728370750617	0.36074280717386
g1	g7	-0.0204728370750617	0.36074280717386
g5	g2	-0.026279970224252	0.240686374441763
g2	g5	-0.0262799702242521	0.240686374441762
g1	g6	-0.0297815549495313	0.183628023592458
g6	g1	-0.0297815549495313	0.183628023592458
