Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g5	g4	0.5346707559760949
g4	g5	0.5346707559760949
g3	g4	0.4649399067666479
g4	g3	0.4649399067666479
g6	g5	0.319373347332628
g5	g6	0.319373347332628
g7	g6	0.12826101176130802
g6	g7	0.12826101176130802
g3	g2	0.125760232009985
g2	g3	0.125760232009985
g5	g7	0.0656362852068651
g7	g5	0.065636285206865
g2	g6	0.0605926992801897
g6	g2	0.0605926992801897
g4	g1	0
g1	g4	0
g4	g2	0
g2	g4	0
g6	g3	0
g3	g6	0
g3	g5	0
g5	g3	0
g2	g1	0
g1	g2	0
g5	g1	0
g1	g5	0
g4	g6	0
g6	g4	0
g7	g4	0
g4	g7	0
g2	g7	0
g7	g2	0
g1	g3	0
g3	g1	0
g7	g3	0
g3	g7	0
g7	g1	0
g1	g7	0
g5	g2	0
g2	g5	0
g1	g6	0
g6	g1	0
