SourceGENES,TargetGENES,Interaction,Edges
g3,g2,1,activation
g6,g6,0.496048372126272,activation
g7,g7,0.460451492287141,activation
g4,g4,0.444365714514807,activation
g5,g7,0.409956925853158,activation
g6,g5,0.316984612812487,activation
g3,g3,0.301086422554161,activation
g5,g5,0.26805309106807,activation
g5,g4,0.2432862996663,activation
g4,g3,0.239989689703472,activation
g7,g6,0.137436789087051,activation
g3,g6,0.0473073555215872,activation
g2,g1,3.15677886309785e-37,activation
g2,g7,2.37379226246288e-37,activation
g1,g7,1.56221894391463e-37,repression
g2,g2,8.50711990976803e-38,activation
g2,g4,4.32999714149045e-38,activation
g1,g2,3.07396618194333e-38,activation
g1,g6,3.05317683714251e-38,repression
g1,g3,1.61747467024261e-38,repression
g1,g1,0,no regulation
g1,g4,0,no regulation
g1,g5,0,no regulation
g2,g3,0,no regulation
g2,g5,0,no regulation
g2,g6,0,no regulation
g3,g1,0,no regulation
g3,g4,0,no regulation
g3,g5,0,no regulation
g3,g7,0,no regulation
g4,g1,0,no regulation
g4,g2,0,no regulation
g4,g5,0,no regulation
g4,g6,0,no regulation
g4,g7,0,no regulation
g5,g1,0,no regulation
g5,g2,0,no regulation
g5,g3,0,no regulation
g5,g6,0,no regulation
g6,g1,0,no regulation
g6,g2,0,no regulation
g6,g3,0,no regulation
g6,g4,0,no regulation
g6,g7,0,no regulation
g7,g1,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g4,0,no regulation
g7,g5,0,no regulation
