Gene1	Gene2	EdgeWeight
g2	g3	1.0
g6	g6	0.496048372126272
g7	g7	0.460451492287141
g4	g4	0.444365714514807
g7	g5	0.40995692585315796
g5	g6	0.316984612812487
g3	g3	0.301086422554161
g5	g5	0.26805309106807
g4	g5	0.2432862996663
g3	g4	0.239989689703472
g6	g7	0.137436789087051
g6	g3	0.0473073555215872
g1	g2	3.1567788630978497e-37
g7	g2	2.3737922624628798e-37
g7	g1	1.5622189439146301e-37
g2	g2	8.50711990976803e-38
g4	g2	4.32999714149045e-38
g2	g1	3.07396618194333e-38
g6	g1	3.05317683714251e-38
g3	g1	1.6174746702426098e-38
g4	g7	0.0
g3	g7	0.0
g2	g7	0.0
g1	g7	0.0
g7	g4	0.0
g7	g6	0.0
g4	g6	0.0
g3	g6	0.0
g2	g6	0.0
g1	g6	0.0
g6	g5	0.0
g3	g5	0.0
g2	g5	0.0
g1	g5	0.0
g5	g2	0.0
g6	g4	0.0
g5	g4	0.0
g2	g4	0.0
g1	g4	0.0
g7	g3	0.0
g5	g3	0.0
g4	g3	0.0
g1	g3	0.0
g6	g2	0.0
g3	g2	0.0
g5	g1	0.0
g4	g1	0.0
g1	g1	0.0
g5	g7	0.0
