Gene1	Gene2	EdgeWeight
g12	g11	0.3776519733758521
g7	g6	0.3474701441632018
g5	g4	0.3338994338045415
g11	g10	0.33241722628173664
g10	g9	0.33226032057583205
g6	g5	0.3302509797354826
g11	g12	0.3255556350331628
g8	g7	0.3159003302284528
g14	g13	0.31241754333531896
g9	g8	0.3075676581652015
g4	g3	0.29908848990202663
g13	g14	0.2986206322845277
g13	g12	0.2745037390115509
g12	g13	0.27282780471544715
g7	g8	0.2519400007662493
g9	g10	0.2464056605678974
g8	g9	0.23907686536914274
g6	g7	0.2383577622524482
g3	g2	0.233451755645105
g14	g15	0.23313510351542796
g10	g11	0.22179848833808752
g5	g6	0.21763931613169227
g4	g5	0.2106464933452193
g15	g14	0.18857885099206506
g15	g16	0.1868774517343358
g3	g4	0.16992965057536502
g16	g15	0.16623905351001436
g2	g3	0.1322371910968708
g6	g4	0.1284151563216852
g7	g5	0.12789149572049974
g5	g3	0.1276400958246191
g9	g7	0.12394935918973535
g11	g9	0.12025765488982035
g8	g6	0.1179619455880944
g12	g10	0.11128879725115916
g12	g14	0.10987196936073083
g10	g8	0.10740546540436434
g13	g11	0.09936662079397264
g11	g13	0.09935787220474114
g10	g12	0.09782393595342102
g9	g11	0.08976812497797416
g13	g15	0.08944876321111217
g6	g8	0.08710499082078339
g8	g10	0.08611830829827469
g5	g7	0.0854735624668533
g4	g2	0.08295559466978594
g12	g15	0.08220883648967116
g14	g16	0.07879766526583111
g2	g1	0.07854718072088518
g7	g9	0.0773196653968019
g14	g12	0.0757285504596643
g4	g6	0.07193190580434933
g7	g17	0.07008700264649767
g8	g17	0.06916187140968676
g7	g4	0.06903047182241505
g8	g5	0.06883444685801697
g1	g2	0.06726894325257585
g5	g2	0.06590407754791902
g6	g3	0.06570452253900907
g12	g16	0.06469470920102244
g12	g17	0.06446347719913798
g1	g18	0.06389860014622065
g13	g16	0.06313820884669298
g5	g18	0.06240003217565166
g3	g1	0.06236135414451501
g14	g18	0.06203370317725216
g18	g1	0.06154803179013886
g15	g18	0.0614552185447997
g3	g18	0.06117685634828528
g4	g18	0.0609583265202236
g6	g18	0.0606928259565134
g16	g1	0.06011950402139313
g2	g18	0.059587464521772375
g10	g1	0.059536553477173536
g13	g1	0.05947296140469804
g1	g17	0.05921283705408222
g7	g18	0.05910254738968927
g14	g17	0.058863800779879814
g10	g18	0.05879990011719863
g17	g1	0.05871462950332167
g6	g17	0.05847023401629295
g5	g17	0.05825444337935961
g16	g18	0.05817500404184901
g9	g17	0.058130657107816126
g8	g1	0.058109042707905574
g9	g18	0.0579168546787112
g12	g1	0.057706242021104616
g11	g17	0.05766301318896739
g15	g17	0.05728552459413905
g2	g17	0.05725382235455642
g3	g17	0.057167397176323076
g14	g1	0.05714637198183682
g7	g1	0.05711730828298391
g2	g16	0.05654455946562015
g17	g18	0.056314639918077364
g15	g1	0.056267267709078375
