TF	target	importance
g8	g7	239.12242442420794
g5	g4	234.33615120409758
g14	g13	231.43092501321257
g12	g11	226.09459311353527
g11	g10	219.1796296246506
g7	g6	218.74743476541596
g13	g12	218.57625111503515
g10	g9	217.0818942903168
g9	g10	215.45757441063245
g6	g7	210.92437564463015
g6	g5	207.57720365898697
g11	g12	204.74955133631772
g7	g8	194.80279354504196
g9	g8	183.01452159559395
g5	g6	180.55403143892417
g13	g14	179.48408037397013
g12	g13	176.4560153860093
g4	g3	172.56563332065937
g3	g4	169.57819305988647
g3	g2	166.8451499333224
g4	g5	165.77556429372314
g8	g9	135.34695522738429
g10	g11	131.19994712351513
g15	g14	107.2502617202793
g9	g7	106.8510114930488
g8	g6	99.43579216719624
g5	g7	98.29468702249517
g5	g3	97.14786952257916
g6	g4	95.82094925092969
g2	g3	95.05329893096787
g12	g10	92.83909978751092
g7	g5	92.65381491391446
g10	g8	85.38644887061214
g11	g13	80.7674163944372
g11	g9	78.43552434197463
g10	g12	77.82755672572799
g4	g6	74.51687037381598
g6	g8	70.38225903655814
g8	g10	69.69472608304265
g7	g9	67.14589183332858
g11	g8	66.25119277592661
g9	g11	65.79635411437064
g13	g11	61.42997543917336
g14	g12	59.77674827823283
g12	g14	58.693272082823476
g7	g4	57.89220336731088
g9	g6	54.375962151941906
g10	g7	53.61344074735972
g5	g8	49.54807019610046
g3	g5	47.44043028109716
g4	g7	47.40493748615636
g8	g4	47.189715236317966
g8	g5	44.68593390053563
g12	g9	37.95114436898564
g13	g10	37.784702539178944
g10	g13	37.29850795544069
g6	g3	36.45773465289172
g9	g12	36.05278336355625
g4	g2	35.16053023927536
g9	g5	34.803964620750364
g6	g9	34.61377371107802
g7	g3	34.0515299812108
g5	g2	31.436452542685345
g7	g10	31.287153610855025
g8	g11	30.468984317146734
g15	g13	30.211816169055464
g6	g10	29.56942109576214
g15	g16	27.54507560657106
g11	g7	27.542964862384988
g4	g8	27.48839517193026
g8	g12	27.010917532298567
g11	g14	26.940326899667046
g14	g11	26.82070969255368
g12	g8	26.675338463247087
g1	g2	26.667129594356037
g7	g11	25.414387050977766
g16	g14	24.47667066680979
g3	g6	23.83096254604445
g2	g4	22.966541518277506
g10	g6	22.461871259196673
g9	g13	20.48178740848002
g10	g14	19.911877357255793
g14	g15	18.9870416987265
g5	g9	18.91120252059833
g3	g7	18.475431412258754
g14	g10	18.261201179653487
g12	g7	17.980216806845828
g11	g6	17.716289364809487
g6	g2	17.364259621045928
g7	g12	17.094343329382827
g15	g12	17.020288627974992
g9	g14	16.796408823509445
g9	g4	16.69642863256712
g10	g5	15.590216994018151
g8	g13	15.579672708790243
g8	g3	15.125711642159358
g13	g9	14.638610595748062
g13	g8	14.461710787749915
g16	g15	14.45227678875257
g2	g5	13.790375376141833
g13	g7	13.548619567972747
g5	g10	13.255292679816678
g6	g12	12.899257664733403
g7	g2	12.795787029292025
g10	g4	12.670526238105756
g3	g8	12.634519923504765
g9	g3	12.02488824743502
g4	g10	11.799488340113015
g4	g9	11.691668908820526
g11	g4	11.60710204565867
g2	g7	10.979082666155156
g6	g11	10.541833810786532
g12	g6	10.350969643828915
g4	g13	10.313168982541685
g14	g8	10.277056072369806
g12	g15	10.1006205313056
g13	g15	10.096696131677241
g5	g11	9.908427767513057
g7	g13	9.888756744797035
g14	g9	9.718730802529883
g18	g14	9.587809108703585
g8	g2	9.45826579611212
g2	g14	9.408347336584784
g6	g14	9.375235923638591
g11	g5	9.087826847688186
g8	g14	9.05811782985187
g5	g12	9.002852428185953
g1	g3	8.874666456865324
g11	g3	8.869061277743167
g1	g14	8.670560655275892
g17	g14	8.557839388335648
g7	g14	8.554194830324155
g3	g14	8.013533741780208
g13	g2	7.781495060587108
g2	g6	7.548825672817578
g14	g7	7.532163927733631
g6	g13	7.396685933517518
g10	g3	7.096408883959228
g9	g2	7.040678053193664
g4	g14	7.023564753411305
g17	g13	7.005541068709762
g14	g16	6.996101800491373
g12	g3	6.983581205198305
g12	g2	6.792957456576711
g16	g12	6.791436043397491
g16	g2	6.764551446391196
g1	g13	6.690030209333583
g4	g12	6.6831364808033005
g12	g4	6.644634168877298
g2	g13	6.533387121280742
g10	g2	6.431671255938354
g11	g2	6.329790264426237
g18	g13	6.292573034084749
g5	g13	6.217029958760574
g5	g14	6.197898507779056
g3	g10	6.047386488630843
g16	g13	5.98920879014067
g1	g12	5.791228616610036
g3	g12	5.778224684392758
g13	g6	5.758052571721044
g2	g8	5.732042219560355
g14	g6	5.604055499713639
g3	g9	5.573026208619655
g15	g2	5.521665160033891
g2	g12	5.519685336170411
g15	g11	5.503479781743782
g18	g2	5.4830407964649925
g2	g1	5.478629294552978
g3	g13	5.44747712140816
g13	g4	5.4387651293590205
g14	g3	5.422816764291558
g12	g5	5.39014086302092
g11	g16	5.363649846949709
g18	g4	5.341599768133156
g14	g2	5.242901070590465
g13	g3	5.195397247824092
g4	g11	5.164783884116221
g3	g11	5.13362248218708
g17	g10	5.130140173479384
g18	g10	4.983595898702726
g18	g3	4.930125798413237
g1	g4	4.9170481159500845
g8	g17	4.8874775707236715
g17	g2	4.883674679708154
g15	g7	4.854138168777055
g15	g10	4.8200346028787875
g18	g12	4.813864429018093
g13	g5	4.682196692603866
g17	g3	4.661280002393156
g1	g7	4.574605211324275
g15	g4	4.5585937705814015
g2	g10	4.538092506607533
g16	g4	4.521313720030434
g11	g15	4.490208148941749
g18	g7	4.474023496141252
g3	g16	4.473865396884585
g1	g15	4.4415228419008805
g16	g3	4.3916706004968376
g17	g8	4.374806332912303
g15	g6	4.3712056308005645
g12	g1	4.218584311435029
g17	g4	4.1829222945810605
g2	g9	4.161425043198238
g15	g3	4.1483254649118235
g17	g7	4.0109605889903595
g15	g9	3.989085941297112
g15	g5	3.9342642189804784
g1	g10	3.8685187777890135
g16	g7	3.816916473517681
g18	g6	3.8152921228857193
g15	g8	3.755449332973073
g16	g6	3.7049159451115465
g16	g8	3.6998359848655165
g2	g11	3.673218313497158
g17	g5	3.6395485777438195
g14	g4	3.637312479335879
g17	g12	3.61187400816222
g6	g17	3.5862839697580418
g16	g11	3.568814071049297
g1	g8	3.559163350848647
g16	g10	3.48394220069588
g1	g5	3.4726049026670545
g18	g5	3.4458470587710868
g1	g11	3.330566827294899
g18	g9	3.2316457663299447
g7	g1	3.2009921416926463
g17	g9	3.142502642430646
g18	g11	3.131777982324689
g16	g5	3.1309049481209468
g1	g6	3.116216511256483
g17	g6	3.0912523345196994
g3	g15	2.9589436349934886
g18	g8	2.956396340204845
g14	g5	2.899161851235985
g12	g17	2.883710500209208
g17	g11	2.8185242282146854
g16	g9	2.8173008187447524
g18	g1	2.726986157482161
g10	g1	2.7156146577325084
g7	g16	2.7106570081114505
g9	g15	2.57981265955328
g1	g9	2.5496169786149427
g4	g18	2.49824802780107
g5	g16	2.483583964621087
g6	g18	2.4832990734826312
g4	g1	2.446428361539007
g5	g17	2.4428011877726488
g10	g15	2.432188597712988
g8	g1	2.42835719932401
g5	g15	2.3997891314239217
g3	g1	2.3797304287908085
g5	g18	2.3303445872458415
g14	g1	2.276903548544631
g3	g17	2.2683536505968123
g14	g18	2.23668617830817
g13	g17	2.0898701711181396
