Gene1	Gene2	EdgeWeight
g8	g7	239.12242442420796
g5	g4	234.3361512040976
g14	g13	231.43092501321254
g12	g11	226.09459311353527
g11	g10	219.1796296246506
g7	g6	218.747434765416
g13	g12	218.57625111503518
g10	g9	217.0818942903168
g9	g10	215.45757441063245
g6	g7	210.92437564463012
g6	g5	207.57720365898697
g11	g12	204.74955133631767
g7	g8	194.802793545042
g9	g8	183.01452159559398
g5	g6	180.55403143892414
g13	g14	179.4840803739701
g12	g13	176.45601538600934
g4	g3	172.56563332065937
g3	g4	169.57819305988647
g3	g2	166.8451499333224
g4	g5	165.77556429372314
g8	g9	135.34695522738429
g10	g11	131.19994712351513
g15	g14	107.2502617202793
g9	g7	106.8510114930488
g8	g6	99.43579216719624
g5	g7	98.29468702249515
g5	g3	97.14786952257916
g6	g4	95.82094925092969
g2	g3	95.05329893096788
g12	g10	92.83909978751093
g7	g5	92.65381491391445
g10	g8	85.38644887061214
g11	g13	80.7674163944372
g11	g9	78.43552434197463
g10	g12	77.82755672572799
g4	g6	74.51687037381599
g6	g8	70.38225903655814
g8	g10	69.69472608304265
g7	g9	67.14589183332858
g11	g8	66.25119277592661
g9	g11	65.79635411437064
g13	g11	61.429975439173354
g14	g12	59.77674827823283
g12	g14	58.693272082823476
g7	g4	57.892203367310884
g9	g6	54.37596215194191
g10	g7	53.61344074735972
g5	g8	49.54807019610046
g3	g5	47.44043028109716
g4	g7	47.404937486156356
g8	g4	47.189715236317966
g8	g5	44.68593390053563
g12	g9	37.95114436898564
g13	g10	37.784702539178944
g10	g13	37.29850795544069
g6	g3	36.457734652891716
g9	g12	36.05278336355625
g4	g2	35.16053023927536
g9	g5	34.803964620750364
g6	g9	34.61377371107802
g7	g3	34.0515299812108
g5	g2	31.43645254268534
g7	g10	31.28715361085502
g8	g11	30.46898431714673
g15	g13	30.211816169055467
g6	g10	29.569421095762138
g15	g16	27.54507560657106
g11	g7	27.542964862384988
g4	g8	27.48839517193026
g8	g12	27.01091753229857
g11	g14	26.94032689966705
g14	g11	26.820709692553677
g12	g8	26.67533846324709
g1	g2	26.66712959435604
g7	g11	25.41438705097777
g16	g14	24.476670666809788
g3	g6	23.83096254604445
g2	g4	22.966541518277502
g10	g6	22.461871259196677
g9	g13	20.48178740848002
g10	g14	19.911877357255797
g14	g15	18.9870416987265
g5	g9	18.911202520598327
g3	g7	18.475431412258754
g14	g10	18.261201179653487
g12	g7	17.980216806845828
g11	g6	17.71628936480949
g6	g2	17.364259621045928
g7	g12	17.094343329382827
g15	g12	17.020288627974992
g9	g14	16.796408823509445
g9	g4	16.69642863256712
g10	g5	15.590216994018151
g8	g13	15.579672708790245
g8	g3	15.125711642159358
g13	g9	14.638610595748062
g13	g8	14.461710787749915
g16	g15	14.45227678875257
g2	g5	13.790375376141832
g13	g7	13.548619567972748
g5	g10	13.255292679816678
g6	g12	12.899257664733405
g7	g2	12.795787029292025
g10	g4	12.670526238105754
g3	g8	12.634519923504765
g9	g3	12.024888247435019
g4	g10	11.799488340113015
g4	g9	11.691668908820525
g11	g4	11.607102045658669
g2	g7	10.979082666155158
g6	g11	10.541833810786533
g12	g6	10.350969643828916
g4	g13	10.313168982541685
g14	g8	10.277056072369806
g12	g15	10.1006205313056
g13	g15	10.09669613167724
g5	g11	9.908427767513057
g7	g13	9.888756744797037
g14	g9	9.718730802529883
g18	g14	9.587809108703583
g8	g2	9.45826579611212
g2	g14	9.408347336584784
g6	g14	9.375235923638591
g11	g5	9.087826847688184
g8	g14	9.05811782985187
g5	g12	9.002852428185953
g1	g3	8.874666456865324
g11	g3	8.869061277743167
g1	g14	8.670560655275892
g17	g14	8.557839388335648
g7	g14	8.554194830324155
g3	g14	8.013533741780208
g13	g2	7.781495060587107
g2	g6	7.5488256728175775
g14	g7	7.532163927733631
g6	g13	7.396685933517518
g10	g3	7.096408883959228
g9	g2	7.040678053193664
g4	g14	7.023564753411305
g17	g13	7.005541068709763
g14	g16	6.996101800491372
g12	g3	6.983581205198305
g12	g2	6.792957456576711
g16	g12	6.791436043397491
g16	g2	6.764551446391196
g1	g13	6.690030209333582
g4	g12	6.6831364808033005
g12	g4	6.644634168877298
g2	g13	6.533387121280741
g10	g2	6.431671255938354
g11	g2	6.329790264426237
g18	g13	6.292573034084749
g5	g13	6.217029958760574
g5	g14	6.197898507779057
g3	g10	6.047386488630843
g16	g13	5.989208790140669
g1	g12	5.791228616610036
g3	g12	5.778224684392757
g13	g6	5.758052571721044
g2	g8	5.732042219560355
g14	g6	5.604055499713639
g3	g9	5.573026208619655
g15	g2	5.5216651600338915
g2	g12	5.5196853361704115
g15	g11	5.503479781743783
g18	g2	5.4830407964649925
g2	g1	5.478629294552978
g3	g13	5.44747712140816
g13	g4	5.4387651293590205
g14	g3	5.422816764291558
g12	g5	5.390140863020919
g11	g16	5.363649846949709
g18	g4	5.341599768133157
g14	g2	5.242901070590465
g13	g3	5.195397247824092
g4	g11	5.164783884116222
g3	g11	5.1336224821870795
g17	g10	5.130140173479384
g18	g10	4.983595898702727
g18	g3	4.930125798413237
g1	g4	4.9170481159500845
g8	g17	4.887477570723672
g17	g2	4.883674679708154
g15	g7	4.854138168777054
g15	g10	4.820034602878788
g18	g12	4.813864429018093
g13	g5	4.682196692603866
g17	g3	4.661280002393156
g1	g7	4.5746052113242754
g15	g4	4.5585937705814015
g2	g10	4.5380925066075335
g16	g4	4.521313720030434
g11	g15	4.490208148941749
g18	g7	4.4740234961412515
g3	g16	4.473865396884585
g1	g15	4.4415228419008805
g16	g3	4.3916706004968376
g17	g8	4.3748063329123035
g15	g6	4.3712056308005645
g12	g1	4.218584311435029
g17	g4	4.1829222945810605
g2	g9	4.161425043198238
g15	g3	4.148325464911824
g17	g7	4.01096058899036
g15	g9	3.989085941297112
g15	g5	3.9342642189804784
g1	g10	3.8685187777890135
g16	g7	3.8169164735176815
g18	g6	3.8152921228857193
g15	g8	3.755449332973073
g16	g6	3.7049159451115465
g16	g8	3.699835984865517
g2	g11	3.6732183134971583
g17	g5	3.63954857774382
g14	g4	3.637312479335879
g17	g12	3.61187400816222
g6	g17	3.5862839697580418
g16	g11	3.568814071049297
