Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.730664	1.000000	0.947330
g10	-	g1	-0.007411	0.027825	-0.000267
g11	+	g1	0.042235	0.068209	0.003735
g12	-	g1	-0.062713	0.118949	-0.009672
g13	-	g1	-0.008044	0.023108	-0.000241
g14	-	g1	-0.012989	0.034458	-0.000580
g15	+	g1	0.206304	0.537489	0.143767
g16	+	g1	0.630163	0.995858	0.813644
g17	+	g1	0.737901	0.995375	0.952289
g18	+	g1	0.773239	0.997477	1.000000
g2	+	g1	0.430816	1.000000	0.558568
g3	+	g1	0.115898	0.043274	0.006503
g4	-	g1	-0.000412	0.056518	-0.000030
g5	-	g1	-0.011801	0.060526	-0.000926
g6	-	g1	-0.001309	0.041909	-0.000071
g7	-	g1	-0.004385	0.039580	-0.000225
g8	+	g1	0.023890	0.056799	0.001759
g9	-	g1	-0.006146	0.031098	-0.000248
g1	+	g10	0.014959	0.070359	0.001365
g10	+	g10	0.215583	0.842035	0.235358
g11	+	g10	0.252337	0.967984	0.316690
g12	+	g10	0.149768	0.259682	0.050425
g13	-	g10	-0.020332	0.030419	-0.000802
g14	+	g10	0.092021	0.082910	0.009892
g15	-	g10	-0.112921	0.147888	-0.021652
g16	-	g10	-0.624232	0.898865	-0.727486
g17	-	g10	-0.058475	0.392233	-0.029737
g18	-	g10	-0.252035	0.499707	-0.163290
g2	+	g10	0.034346	0.097058	0.004322
g3	+	g10	0.022845	0.076393	0.002263
g4	+	g10	0.003775	0.054299	0.000266
g5	-	g10	-0.000729	0.052400	-0.000050
g6	+	g10	0.065212	0.114123	0.009649
g7	+	g10	0.180022	0.849148	0.198195
g8	+	g10	0.194039	0.827842	0.208267
g9	+	g10	0.262150	0.996838	0.338811
g1	+	g11	0.009533	0.055384	0.000685
g10	+	g11	0.090758	0.093210	0.010968
g11	+	g11	0.177530	0.361306	0.083163
g12	+	g11	0.280688	0.987193	0.359260
g13	+	g11	0.194922	0.419851	0.106106
g14	-	g11	-0.146382	0.199805	-0.037921
g15	-	g11	-0.029212	0.094105	-0.003564
g16	+	g11	0.060017	0.326523	0.025408
g17	-	g11	-0.080647	0.400127	-0.041838
g18	-	g11	-0.192132	0.468206	-0.116633
g2	+	g11	0.019004	0.063551	0.001566
g3	+	g11	0.031890	0.064159	0.002653
g4	-	g11	-0.023778	0.077300	-0.002383
g5	-	g11	-0.008890	0.054749	-0.000631
g6	+	g11	0.034395	0.059761	0.002665
g7	+	g11	0.180802	0.124837	0.029264
g8	+	g11	0.036607	0.059633	0.002830
g9	+	g11	0.279805	0.998702	0.362305
g1	+	g12	0.004876	0.058084	0.000367
g10	+	g12	0.151368	0.794006	0.155826
g11	+	g12	0.061067	0.101493	0.008036
g12	+	g12	0.302532	1.000000	0.392243
g13	+	g12	0.165534	0.440672	0.094577
g14	-	g12	-0.212641	0.574021	-0.158255
g15	+	g12	0.247354	0.578662	0.185578
g16	-	g12	-0.058059	0.334360	-0.025169
g17	-	g12	-0.386656	0.734932	-0.368431
g18	-	g12	-0.181042	0.483639	-0.113523
g2	+	g12	0.029545	0.096352	0.003691
g3	+	g12	0.015457	0.066671	0.001336
g4	-	g12	-0.024942	0.070790	-0.002289
g5	-	g12	-0.008868	0.051212	-0.000589
g6	+	g12	0.008213	0.054951	0.000585
g7	+	g12	0.134601	0.932881	0.162801
g8	+	g12	0.038832	0.085862	0.004323
g9	+	g12	0.076679	0.155504	0.015460
g1	+	g13	0.018507	0.091562	0.002197
g10	+	g13	0.013790	0.053278	0.000953
g11	+	g13	0.128801	0.840317	0.140329
g12	+	g13	0.139198	0.820703	0.148116
g13	+	g13	0.113091	0.363824	0.053346
g14	-	g13	-0.087595	0.169526	-0.019253
g15	+	g13	0.132140	0.324812	0.055648
g16	-	g13	-0.201323	0.566343	-0.147828
g17	-	g13	-0.225646	0.621344	-0.181779
g18	-	g13	-0.191712	0.564957	-0.140427
g2	+	g13	0.015848	0.084921	0.001745
g3	+	g13	0.002413	0.056854	0.000178
g4	-	g13	-0.013163	0.061266	-0.001046
g5	-	g13	-0.004617	0.049369	-0.000296
g6	+	g13	0.018235	0.071468	0.001690
g7	+	g13	0.070270	0.294581	0.026839
g8	-	g13	-0.036864	0.089287	-0.004268
g9	+	g13	0.093235	0.502807	0.060781
g1	+	g14	0.000398	0.061646	0.000032
g10	+	g14	0.026499	0.108435	0.003725
g11	+	g14	0.016332	0.068601	0.001453
g12	+	g14	0.080103	0.842899	0.087540
g13	+	g14	0.088400	0.744008	0.085273
g14	+	g14	0.114245	0.857897	0.127074
g15	-	g14	-0.070009	0.275806	-0.025035
g16	-	g14	-0.079361	0.438526	-0.045122
g17	-	g14	-0.117131	0.574458	-0.087240
g18	-	g14	-0.006019	0.385512	-0.003008
g2	+	g14	0.025236	0.172099	0.005631
g3	-	g14	-0.004096	0.060280	-0.000320
g4	+	g14	0.005442	0.056666	0.000400
g5	-	g14	-0.004526	0.050938	-0.000299
g6	-	g14	-0.012841	0.069350	-0.001155
g7	+	g14	0.033138	0.151436	0.006506
g8	-	g14	-0.028406	0.112481	-0.004143
g9	+	g14	0.045202	0.260527	0.015268
g1	+	g15	0.002377	0.069164	0.000213
g10	+	g15	0.016531	0.121656	0.002608
g11	-	g15	-0.006832	0.054270	-0.000481
g12	+	g15	0.027927	0.256902	0.009302
g13	+	g15	0.020930	0.125884	0.003416
g14	+	g15	0.108247	1.000000	0.140346
g15	+	g15	0.162450	0.000000	0.000000
g16	-	g15	-0.001198	0.323596	-0.000503
g17	-	g15	-0.004906	0.388040	-0.002468
g18	+	g15	0.036762	0.459585	0.021905
g2	+	g15	0.011277	0.086981	0.001272
g3	+	g15	0.003660	0.071819	0.000341
g4	+	g15	0.006613	0.075576	0.000648
g5	+	g15	0.000441	0.049653	0.000028
g6	-	g15	-0.004137	0.058519	-0.000314
g7	+	g15	0.008882	0.072630	0.000836
g8	-	g15	-0.005392	0.055598	-0.000389
g9	+	g15	0.003320	0.043520	0.000187
g1	+	g16	0.008871	0.145066	0.001669
g10	+	g16	0.000528	0.024813	0.000017
g11	+	g16	0.000046	0.033724	0.000002
g12	+	g16	0.010859	0.280738	0.003953
g13	-	g16	-0.013283	0.321054	-0.005529
g14	+	g16	0.041198	1.000000	0.053414
g15	-	g16	-0.022880	0.601660	-0.017848
g16	+	g16	0.000610	0.323339	0.000256
g17	+	g16	0.014623	0.469090	0.008894
g18	+	g16	0.006735	0.405767	0.003543
g2	+	g16	0.009811	0.204716	0.002604
g3	+	g16	0.003576	0.082295	0.000382
g4	-	g16	-0.001913	0.072443	-0.000180
g5	+	g16	0.001290	0.051663	0.000086
g6	-	g16	-0.001847	0.062372	-0.000149
g7	+	g16	0.000990	0.041263	0.000053
g8	-	g16	-0.002090	0.059014	-0.000160
g9	+	g16	0.000102	0.027931	0.000004
g1	+	g17	0.012764	0.999476	0.016541
g10	+	g17	0.001137	0.038196	0.000056
g11	-	g17	-0.001881	0.048009	-0.000117
g12	-	g17	-0.001987	0.043604	-0.000112
g13	-	g17	-0.000322	0.017310	-0.000007
g14	-	g17	-0.001100	0.031740	-0.000045
g15	+	g17	0.012285	0.329809	0.005253
g16	+	g17	0.025194	0.721974	0.023583
g17	-	g17	-0.016099	0.539949	-0.011270
g18	+	g17	0.007272	0.422125	0.003980
g2	+	g17	0.003520	0.086093	0.000393
g3	+	g17	0.001745	0.073066	0.000165
g4	+	g17	0.000748	0.058572	0.000057
g5	+	g17	0.001672	0.065028	0.000141
g6	-	g17	-0.000931	0.051598	-0.000062
g7	-	g17	-0.000220	0.038098	-0.000011
g8	-	g17	-0.001055	0.044955	-0.000061
g9	+	g17	0.002774	0.077342	0.000278
g1	+	g18	0.014323	1.000000	0.018570
g10	+	g18	0.000789	0.027466	0.000028
g11	+	g18	0.000361	0.019537	0.000009
g12	+	g18	0.000023	0.015291	0.000000
g13	-	g18	-0.000686	0.015435	-0.000014
g14	-	g18	-0.002596	0.040031	-0.000135
g15	-	g18	-0.003121	0.098216	-0.000397
g16	+	g18	0.005662	0.344680	0.002530
g17	+	g18	0.004920	0.404014	0.002577
g18	+	g18	0.029847	0.782835	0.030294
g2	+	g18	0.001716	0.076552	0.000170
g3	+	g18	0.003380	0.084949	0.000372
g4	-	g18	-0.001945	0.084110	-0.000212
g5	+	g18	0.000210	0.046822	0.000013
g6	+	g18	0.001324	0.055897	0.000096
g7	+	g18	0.000257	0.037662	0.000013
g8	-	g18	-0.000754	0.041577	-0.000041
g9	-	g18	-0.001922	0.063617	-0.000159
g1	+	g2	0.461737	1.000000	0.598658
g10	+	g2	0.019006	0.038966	0.000960
g11	-	g2	-0.050832	0.106692	-0.007032
g12	+	g2	0.024835	0.039757	0.001280
g13	-	g2	-0.043775	0.058969	-0.003347
g14	+	g2	0.052141	0.068650	0.004641
g15	+	g2	0.101839	0.192541	0.025423
g16	+	g2	0.366021	0.814930	0.386732
g17	+	g2	0.261911	0.624359	0.212017
g18	+	g2	0.209816	0.550942	0.149874
g2	+	g2	0.567528	1.000000	0.735819
g3	+	g2	0.261828	1.000000	0.339469
g4	+	g2	0.022416	0.065659	0.001908
g5	+	g2	0.046285	0.077877	0.004673
g6	+	g2	0.046441	0.083684	0.005039
g7	-	g2	-0.003565	0.044335	-0.000205
g8	+	g2	0.000044	0.032737	0.000002
g9	-	g2	-0.002551	0.028582	-0.000095
g1	+	g3	0.206417	0.217729	0.058270
g10	-	g3	-0.002113	0.034069	-0.000093
g11	+	g3	0.309606	0.000000	0.000000
g12	+	g3	0.084729	0.103182	0.011335
g13	-	g3	-0.071110	0.083766	-0.007723
g14	+	g3	0.059738	0.064062	0.004962
g15	-	g3	-0.118816	0.183912	-0.028332
g16	+	g3	0.202538	0.456983	0.120002
g17	+	g3	0.300670	0.604402	0.235613
g18	-	g3	-0.130841	0.437005	-0.074133
g2	+	g3	0.442367	1.000000	0.573543
g3	+	g3	0.533207	1.000000	0.691320
g4	+	g3	0.267852	0.999677	0.347166
g5	+	g3	0.115791	0.094444	0.014178
g6	+	g3	0.011955	0.057826	0.000896
g7	+	g3	0.069836	0.090965	0.008236
g8	-	g3	-0.019548	0.055137	-0.001397
g9	+	g3	0.053160	0.079685	0.005492
g1	+	g4	0.114770	0.235498	0.035043
g10	-	g4	-0.021276	0.037557	-0.001036
g11	-	g4	-0.014127	0.037753	-0.000691
g12	+	g4	0.151198	0.348597	0.068337
g13	-	g4	-0.105972	0.125937	-0.017303
g14	+	g4	0.072691	0.070975	0.006689
g15	-	g4	-0.096990	0.139384	-0.017528
g16	-	g4	-0.482223	0.797677	-0.498722
g17	+	g4	0.145195	0.435831	0.082045
g18	+	g4	0.204764	0.478393	0.127006
g2	+	g4	0.123598	0.264843	0.042441
g3	+	g4	0.392197	1.000000	0.508496
g4	+	g4	0.470916	1.000000	0.610558
g5	+	g4	0.344221	1.000000	0.446294
g6	+	g4	0.036054	0.076649	0.003583
g7	+	g4	0.086414	0.149309	0.016728
g8	+	g4	0.043783	0.078153	0.004436
g9	-	g4	-0.011896	0.036680	-0.000566
g1	+	g5	0.029903	0.064121	0.002486
g10	-	g5	-0.018332	0.033339	-0.000792
g11	+	g5	0.015312	0.030846	0.000612
g12	+	g5	0.054925	0.061744	0.004397
g13	-	g5	-0.013170	0.021964	-0.000375
