Gene1	Gene2	EdgeWeight
g1	g1	1.0
g12	g12	1.0
g7	g7	1.0
g6	g6	1.0
g5	g5	1.0
g4	g5	1.0
g5	g4	1.0
g4	g4	1.0
g3	g4	1.0
g3	g3	1.0
g2	g3	1.0
g3	g2	1.0
g2	g2	1.0
g1	g2	1.0
g14	g16	1.0
g14	g15	1.0
g1	g18	1.0
g2	g1	1.0
g7	g8	0.999991
g9	g8	0.999985
g6	g7	0.999927
g6	g8	0.9998469999999999
g4	g3	0.999677
g1	g17	0.999476
g9	g9	0.999393
g8	g9	0.9989049999999999
g9	g11	0.9987020000000001
g8	g8	0.9974780000000001
g18	g1	0.9974770000000001
g9	g10	0.9968379999999999
g16	g1	0.995858
g4	g6	0.9954700000000001
g17	g1	0.995375
g12	g11	0.987193
g11	g10	0.9679840000000001
g16	g9	0.959231
g11	g8	0.9372780000000001
g5	g6	0.9332600000000001
g7	g12	0.932881
g10	g9	0.910925
g16	g10	0.8988649999999999
g14	g14	0.8578969999999999
g7	g9	0.856165
g7	g10	0.8491479999999999
g12	g14	0.842899
g10	g10	0.8420350000000001
g7	g6	0.841001
g11	g13	0.840317
g8	g10	0.827842
g12	g13	0.8207030000000001
g16	g2	0.81493
g16	g4	0.7976770000000001
g10	g12	0.794006
g6	g5	0.78585
g18	g18	0.7828350000000001
g13	g14	0.744008
g17	g12	0.7349319999999999
g16	g17	0.721974
g18	g9	0.7061310000000001
g9	g7	0.6846
g6	g9	0.683692
g17	g2	0.624359
g17	g13	0.621344
g17	g3	0.604402
g15	g16	0.6016600000000001
g15	g12	0.578662
g17	g14	0.574458
g14	g12	0.574021
g8	g6	0.5701970000000001
g16	g13	0.566343
g18	g13	0.5649569999999999
g18	g2	0.550942
g15	g9	0.5483180000000001
g14	g9	0.5426979999999999
g17	g17	0.539949
g15	g1	0.537489
g11	g9	0.534575
g16	g8	0.527019
g9	g13	0.502807
g18	g10	0.49970699999999996
g18	g12	0.48363900000000004
g4	g7	0.479951
g18	g4	0.478393
g17	g16	0.46908999999999995
g18	g11	0.46820600000000007
g18	g8	0.467629
g18	g15	0.459585
g16	g3	0.456983
g17	g6	0.45343
g16	g5	0.44883500000000004
g13	g12	0.440672
g16	g14	0.438526
g18	g3	0.43700500000000003
g17	g4	0.435831
g18	g6	0.42475799999999997
g18	g17	0.422125
g13	g11	0.41985100000000003
g18	g7	0.4133
g18	g5	0.406018
g18	g16	0.405767
g17	g18	0.404014
g17	g8	0.40114299999999997
g17	g11	0.400127
g17	g9	0.39723800000000004
g17	g10	0.392233
g17	g7	0.390173
g17	g15	0.38804
g17	g5	0.387119
g18	g14	0.38551199999999997
g11	g7	0.385236
g14	g8	0.381651
g13	g13	0.363824
g11	g11	0.361306
g12	g4	0.348597
g16	g7	0.34842199999999995
g16	g18	0.34468000000000004
g8	g7	0.342492
g16	g12	0.33436
g15	g17	0.329809
g16	g11	0.326523
g15	g13	0.324812
g16	g15	0.323596
g16	g16	0.323339
g13	g16	0.321054
g16	g6	0.32055
g7	g13	0.294581
g12	g16	0.280738
g15	g8	0.279317
g15	g14	0.275806
g2	g4	0.264843
g9	g14	0.260527
g12	g10	0.259682
g12	g15	0.256902
g12	g9	0.237146
g1	g4	0.235498
g14	g7	0.229152
g1	g3	0.217729
g2	g16	0.204716
g14	g11	0.19980499999999998
g15	g2	0.19254100000000002
g11	g6	0.188435
g15	g3	0.183912
g15	g6	0.18328699999999998
g13	g6	0.17989000000000002
g2	g14	0.172099
g14	g13	0.169526
g4	g8	0.167719
g14	g6	0.164376
g9	g12	0.155504
g13	g9	0.154447
g7	g14	0.151436
g7	g4	0.149309
g15	g10	0.14788800000000002
g2	g8	0.147578
g1	g16	0.145066
g15	g4	0.13938399999999998
g2	g9	0.13315
g13	g4	0.125937
g13	g15	0.125884
g7	g11	0.12483699999999999
g10	g15	0.121656
g12	g1	0.118949
g6	g10	0.114123
g8	g14	0.112481
g8	g5	0.109757
g7	g5	0.109352
g10	g14	0.10843499999999999
g11	g2	0.10669200000000001
g12	g3	0.103182
g11	g12	0.101493
g15	g18	0.098216
g4	g9	0.097694
g2	g10	0.097058
g2	g12	0.096352
g5	g3	0.094444
g15	g11	0.094105
g10	g11	0.09321
g3	g8	0.091874
g1	g13	0.091562
g15	g7	0.091176
g7	g3	0.090965
g8	g13	0.089287
g15	g5	0.08876
g2	g15	0.08698099999999999
g2	g17	0.08609299999999999
g8	g12	0.085862
g3	g18	0.084949
g2	g13	0.08492100000000001
g4	g18	0.08411
g13	g3	0.083766
g6	g2	0.08368400000000001
g14	g10	0.08291
g3	g16	0.08229500000000001
g10	g8	0.080778
g9	g3	0.079685
g8	g4	0.078153
g5	g2	0.077877
g9	g17	0.077342
g4	g11	0.0773
g6	g4	0.076649
g2	g18	0.076552
g3	g10	0.07639299999999999
g4	g15	0.075576
g3	g9	0.074931
g3	g17	0.07306599999999999
g7	g15	0.07263
g4	g16	0.072443
g3	g15	0.07181900000000001
g14	g5	0.07178899999999999
g6	g13	0.07146799999999999
g10	g6	0.071421
g3	g5	0.07103999999999999
g14	g4	0.070975
g4	g12	0.07078999999999999
g1	g10	0.070359
g6	g14	0.06935
g5	g7	0.069232
g1	g15	0.069164
g14	g2	0.06865
g11	g14	0.068601
g11	g1	0.068209
g2	g7	0.067414
g3	g12	0.06667100000000001
g1	g8	0.065835
g4	g2	0.06565900000000001
g5	g17	0.065028
g3	g11	0.06415900000000001
g1	g5	0.064121
g14	g3	0.064062
g3	g7	0.063693
g5	g8	0.063626
g9	g18	0.06361699999999999
g2	g11	0.063551
g5	g9	0.063527
g6	g16	0.062372000000000004
g1	g6	0.061787
g12	g5	0.06174400000000001
g1	g14	0.061646000000000006
g4	g13	0.061265999999999994
g1	g9	0.060808
g2	g6	0.060704999999999995
g5	g1	0.060525999999999996
g3	g14	0.06027999999999999
g1	g7	0.059833000000000004
g6	g11	0.059761
g8	g11	0.059633000000000005
g8	g16	0.059014
g13	g2	0.05896900000000001
g4	g17	0.058572000000000006
g6	g15	0.05851900000000001
g1	g12	0.058084000000000004
g6	g3	0.057826
g3	g13	0.056853999999999995
g8	g1	0.056799
g4	g14	0.056665999999999994
g4	g1	0.05651799999999999
g12	g6	0.056449
g6	g18	0.055897
g8	g15	0.055598
g1	g11	0.055384
g8	g3	0.055137
g6	g12	0.054951
g5	g11	0.054749
g4	g10	0.054299
g11	g15	0.054270000000000006
g10	g13	0.053278
g5	g10	0.0524
g5	g16	0.051663
g6	g17	0.051598000000000005
g5	g12	0.051212
g3	g6	0.051046
g5	g14	0.050938
g10	g7	0.049726
g5	g15	0.049652999999999996
g5	g13	0.049369
g11	g17	0.048008999999999996
g9	g6	0.047961000000000004
g5	g18	0.046822
g8	g17	0.044955
g12	g8	0.044725
g7	g2	0.044335
g2	g5	0.0438
g12	g17	0.043604000000000004
g9	g15	0.043519999999999996
g3	g1	0.043274
g6	g1	0.041908999999999995
g8	g18	0.041576999999999996
g7	g16	0.041263
g14	g18	0.040031
g12	g2	0.039757
g7	g1	0.039580000000000004
g10	g2	0.038966
g9	g5	0.038467
g10	g17	0.038196
g7	g17	0.038098
g11	g4	0.037752999999999995
g7	g18	0.037662
g10	g4	0.037557
g9	g4	0.036680000000000004
g12	g7	0.036676
g14	g1	0.034457999999999996
g10	g3	0.034069
g11	g16	0.033724000000000004
g10	g5	0.033339
g8	g2	0.032737
g14	g17	0.03174
g9	g1	0.031098
g11	g5	0.030846
g13	g10	0.030418999999999998
g9	g2	0.028582
g9	g16	0.027931
g10	g1	0.027825
g10	g18	0.027466
g10	g16	0.024812999999999998
g13	g1	0.023108
g13	g5	0.021963999999999997
g11	g18	0.019537
g13	g17	0.01731
g13	g18	0.015434999999999999
g12	g18	0.015290999999999999
g15	g15	0.0
g11	g3	0.0
g13	g8	0.0
g13	g7	0.0
