Gene1	Gene2	corVal	pValue
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g8	g7	0.431434430743033	9.43005710919548e-91
g7	g8	0.431434430743033	9.43005710919629e-91
g6	g7	0.42753924389016	5.54825272275841e-89
g7	g6	0.42753924389016	5.5482527227592e-89
g9	g8	0.375763179985288	1.46259450415977e-67
g8	g9	0.375763179985288	1.46259450415998e-67
g6	g5	0.355325092111536	4.10197643308159e-60
g5	g6	0.355325092111536	4.10197643308159e-60
g9	g10	0.352467736601354	4.08804172320804e-59
g10	g9	0.352467736601354	4.08804172320804e-59
g4	g5	0.347503724608401	2.09813626493489e-57
g5	g4	0.347503724608401	2.09813626493501e-57
g11	g10	0.266817520041009	1.09424104806581e-33
g10	g11	0.266817520041008	1.09424104806593e-33
g3	g4	0.237946474054659	6.14381804445559e-27
g4	g3	0.237946474054659	6.14381804445573e-27
g12	g11	0.185076630523921	9.53789658305782e-17
g11	g12	0.185076630523921	9.53789658305782e-17
g13	g12	0.132855762930029	2.84506029747005e-09
g12	g13	0.132855762930029	2.84506029747012e-09
g9	g11	0.116576518814608	1.91861563952768e-07
g11	g9	0.116576518814608	1.91861563952769e-07
g3	g2	0.115726819750357	2.35546794068087e-07
g2	g3	0.115726819750357	2.3554679406809e-07
g5	g7	0.103331872365184	3.98678963381338e-06
g7	g5	0.103331872365184	3.98678963381343e-06
g5	g3	0.0982896957822897	1.15509770538442e-05
g3	g5	0.0982896957822897	1.15509770538442e-05
g9	g7	0.0898914132984779	6.08346875123469e-05
g7	g9	0.0898914132984778	6.08346875123483e-05
g6	g4	0.0872301750839639	0.000100085221627626
g4	g6	0.0872301750839639	0.000100085221627626
g14	g13	0.0820057530582466	0.000255615057202409
g13	g14	0.0820057530582466	0.000255615057202409
g12	g10	0.0770975068143499	0.000588112378544129
g10	g12	0.0770975068143499	0.000588112378544129
g13	g11	0.0768502896873898	0.000612575280901356
g11	g13	0.0768502896873897	0.000612575280901358
g10	g8	0.0749414306662361	0.000835841874413831
g8	g10	0.074941430666236	0.000835841874413841
g13	g10	0.0744944850098521	0.000898031415892069
g10	g13	0.074494485009852	0.000898031415892075
g2	g4	0.0707719846645001	0.0016088202694454
g4	g2	0.0707719846645001	0.0016088202694454
g12	g14	0.0696274191042026	0.0019146320623692
g14	g12	0.0696274191042026	0.0019146320623692
g8	g6	0.0622542807136129	0.00553920173088981
g6	g8	0.0622542807136129	0.00553920173088984
g7	g12	0.0618810418903766	0.00582954756772057
g12	g7	0.0618810418903766	0.00582954756772057
g11	g8	0.0530768539660904	0.0180626178577058
g8	g11	0.0530768539660904	0.0180626178577059
g3	g1	0.0497984482680697	0.0265475713519133
g1	g3	0.0497984482680697	0.0265475713519133
g16	g4	0.0477439768170659	0.03346246918491
g4	g16	0.0477439768170659	0.03346246918491
g15	g18	0.0467350047293405	0.0373880373110531
g18	g15	0.0467350047293405	0.0373880373110531
g4	g9	0.045506097139622	0.0426920491400986
g9	g4	0.045506097139622	0.0426920491400987
g13	g2	0.0432346175174785	0.0541733419318937
g2	g13	0.0432346175174784	0.0541733419318938
g17	g4	0.0397999687263761	0.0763348567401619
g4	g17	0.0397999687263761	0.076334856740162
g2	g5	0.0397732281933344	0.0765327659985634
g5	g2	0.0397732281933344	0.0765327659985636
g8	g17	0.037793303862925	0.0923878700402141
g17	g8	0.037793303862925	0.0923878700402143
g16	g11	0.0357202963393854	0.111708092357454
g11	g16	0.0357202963393854	0.111708092357454
g11	g3	0.035693693815838	0.111975286249423
g3	g11	0.035693693815838	0.111975286249424
g5	g8	0.0333980001319675	0.136989756984983
g8	g5	0.0333980001319675	0.136989756984984
g3	g6	0.0319118749058413	0.155349189768789
g6	g3	0.0319118749058413	0.15534918976879
g8	g13	0.0304566513540822	0.17507903704
g13	g8	0.0304566513540822	0.17507903704
g18	g4	0.0300286924283361	0.181222632987183
g4	g18	0.0300286924283361	0.181222632987184
g16	g2	0.0294464769241891	0.189835452448107
g2	g16	0.0294464769241891	0.189835452448108
g15	g7	0.0291174583071003	0.194834039291899
g7	g15	0.0291174583071003	0.194834039291899
g9	g18	0.0288379621453413	0.199155489685554
g18	g9	0.0288379621453413	0.199155489685554
g15	g11	0.0275278934956192	0.220345437071315
g11	g15	0.0275278934956192	0.220345437071315
g12	g9	0.0267646304047382	0.23341209316094
g9	g12	0.0267646304047382	0.233412093160941
g15	g13	0.026217154739228	0.243116616746553
g13	g15	0.026217154739228	0.243116616746553
g12	g2	0.0239811560347451	0.285677628891526
g2	g12	0.0239811560347451	0.285677628891526
g3	g12	0.0236394517905934	0.29260018043246
g12	g3	0.0236394517905934	0.29260018043246
g14	g3	0.023449684203842	0.296492880765524
g3	g14	0.023449684203842	0.296492880765524
g15	g14	0.0231586317512573	0.302530218392705
g14	g15	0.0231586317512573	0.302530218392705
g3	g17	0.0223640575907652	0.319425506976473
g17	g3	0.0223640575907652	0.319425506976473
g1	g5	0.0208981026869529	0.352184386701925
g5	g1	0.0208981026869529	0.352184386701925
g11	g14	0.0200629915342389	0.371763585985408
g14	g11	0.0200629915342389	0.371763585985408
g11	g5	0.0187396997391008	0.404138396232239
g5	g11	0.0187396997391008	0.404138396232239
g15	g6	0.0184720916555116	0.410884754669804
g6	g15	0.0184720916555116	0.410884754669804
g13	g18	0.0174481734793667	0.437307533484627
g18	g13	0.0174481734793667	0.437307533484627
g10	g14	0.0174224822423836	0.437982840081135
g14	g10	0.0174224822423836	0.437982840081135
g15	g9	0.0169177951726036	0.451369776633456
g9	g15	0.0169177951726036	0.451369776633456
g17	g10	0.0168880719779767	0.452165338453187
g10	g17	0.0168880719779767	0.452165338453187
g14	g7	0.0163174048516233	0.467592349148237
g7	g14	0.0163174048516233	0.467592349148237
g16	g7	0.0161034608510244	0.47345021905144
g7	g16	0.0161034608510244	0.47345021905144
g8	g3	0.0149365142815274	0.506100552829845
g3	g8	0.0149365142815274	0.506100552829846
g6	g2	0.0146997696313768	0.512866025859916
g2	g6	0.0146997696313768	0.512866025859916
g2	g8	0.0146800644094562	0.513431258978082
g8	g2	0.0146800644094562	0.513431258978083
g1	g16	0.0137950744084857	0.539146763181844
g16	g1	0.0137950744084857	0.539146763181844
g5	g10	0.0134872835248813	0.548239133780803
g10	g5	0.0134872835248812	0.548239133780806
g6	g9	0.0131795821609264	0.557403882533148
g9	g6	0.0131795821609262	0.557403882533152
g10	g6	0.0127515701963449	0.570274668088237
g6	g10	0.0127515701963447	0.570274668088243
g8	g4	0.0126414231354674	0.573609665546104
g4	g8	0.0126414231354674	0.573609665546105
g16	g13	0.0115787662691593	0.606249092729236
g13	g16	0.0115787662691593	0.606249092729236
g4	g13	0.0115395828554158	0.607468328599346
g13	g4	0.0115395828554158	0.607468328599346
g17	g2	0.0112873000176952	0.615344426909018
g2	g17	0.0112873000176952	0.615344426909018
g8	g14	0.0111540452037995	0.619522574020286
g14	g8	0.0111540452037995	0.619522574020286
g1	g14	0.01106073846788	0.622455503958265
g14	g1	0.01106073846788	0.622455503958265
g16	g10	0.0109818729391518	0.624939181007048
g10	g16	0.0109818729391518	0.624939181007048
g6	g11	0.00964796664727433	0.667573944553277
g11	g6	0.00964796664727432	0.667573944553277
g18	g3	0.00939001833587414	0.675949384740414
g3	g18	0.00939001833587414	0.675949384740414
g1	g8	0.00903586198536405	0.687514056502458
g8	g1	0.00903586198536404	0.687514056502458
