Gene1	Gene2	EdgeWeight
g1	g1	1.0
g18	g18	1.0
g8	g8	1.0
g7	g7	1.0
g6	g6	1.0
g5	g5	1.0
g4	g4	1.0
g3	g3	1.0
g2	g2	1.0
g9	g9	1.0
g17	g17	1.0
g12	g12	1.0
g16	g16	1.0
g11	g11	1.0
g10	g10	1.0
g13	g13	1.0
g14	g14	1.0
g15	g15	1.0
g8	g7	0.431434430743033
g7	g8	0.431434430743033
g6	g7	0.42753924389015996
g7	g6	0.42753924389015996
g8	g9	0.3757631799852879
g9	g8	0.3757631799852879
g6	g5	0.35532509211153607
g5	g6	0.35532509211153607
g9	g10	0.35246773660135405
g10	g9	0.35246773660135405
g4	g5	0.347503724608401
g5	g4	0.347503724608401
g11	g10	0.26681752004100895
g10	g11	0.266817520041008
g3	g4	0.23794647405465902
g4	g3	0.23794647405465902
g11	g12	0.18507663052392104
g12	g11	0.18507663052392104
g13	g12	0.13285576293002901
g12	g13	0.13285576293002901
g9	g11	0.11657651881460801
g11	g9	0.11657651881460801
g3	g2	0.115726819750357
g2	g3	0.115726819750357
g5	g7	0.103331872365184
g7	g5	0.103331872365184
g3	g5	0.0982896957822897
g5	g3	0.0982896957822897
g9	g7	0.0898914132984779
g7	g9	0.0898914132984778
g6	g4	0.0872301750839639
g4	g6	0.0872301750839639
g14	g13	0.0820057530582466
g13	g14	0.0820057530582466
g10	g12	0.0770975068143499
g12	g10	0.0770975068143499
g13	g11	0.0768502896873898
g11	g13	0.0768502896873897
g10	g8	0.0749414306662361
g8	g10	0.07494143066623599
g13	g10	0.0744944850098521
g10	g13	0.07449448500985201
g2	g4	0.0707719846645001
g4	g2	0.0707719846645001
g12	g14	0.0696274191042026
g14	g12	0.0696274191042026
g8	g6	0.0622542807136129
g6	g8	0.0622542807136129
g7	g12	0.0618810418903766
g12	g7	0.0618810418903766
g11	g8	0
g8	g11	0
g3	g1	0
g1	g3	0
g16	g4	0
g4	g16	0
g15	g18	0
g18	g15	0
g4	g9	0
g9	g4	0
g13	g2	0
g2	g13	0
g17	g4	0
g4	g17	0
g2	g5	0
g5	g2	0
g8	g17	0
g17	g8	0
g16	g11	0
g11	g16	0
g11	g3	0
g3	g11	0
g5	g8	0
g8	g5	0
g3	g6	0
g6	g3	0
g8	g13	0
g13	g8	0
g18	g4	0
g4	g18	0
g16	g2	0
g2	g16	0
g15	g7	0
g7	g15	0
g9	g18	0
g18	g9	0
g15	g11	0
g11	g15	0
g12	g9	0
g9	g12	0
g15	g13	0
g13	g15	0
g12	g2	0
g2	g12	0
g3	g12	0
g12	g3	0
g14	g3	0
g3	g14	0
g15	g14	0
g14	g15	0
g3	g17	0
g17	g3	0
g1	g5	0
g5	g1	0
g11	g14	0
g14	g11	0
g11	g5	0
g5	g11	0
g15	g6	0
g6	g15	0
g13	g18	0
g18	g13	0
g10	g14	0
g14	g10	0
g15	g9	0
g9	g15	0
g17	g10	0
g10	g17	0
g14	g7	0
g7	g14	0
g16	g7	0
g7	g16	0
g8	g3	0
g3	g8	0
g6	g2	0
g2	g6	0
g2	g8	0
g8	g2	0
g1	g16	0
g16	g1	0
g5	g10	0
g10	g5	0
g6	g9	0
g9	g6	0
g10	g6	0
g6	g10	0
g8	g4	0
g4	g8	0
g16	g13	0
g13	g16	0
g4	g13	0
g13	g4	0
g17	g2	0
g2	g17	0
g8	g14	0
g14	g8	0
g1	g14	0
g14	g1	0
g16	g10	0
g10	g16	0
g6	g11	0
g11	g6	0
g18	g3	0
g3	g18	0
g1	g8	0
g8	g1	0
g3	g15	0
g15	g3	0
g7	g3	0
g3	g7	0
g15	g5	0
g5	g15	0
g4	g11	0
g11	g4	0
g18	g11	0
g11	g18	0
g7	g13	0
g13	g7	0
g12	g15	0
g15	g12	0
g12	g8	0
g8	g12	0
g10	g3	0
g3	g10	0
