Gene1	Gene2	EdgeWeight
g18	g6	1.6642281736986797
g18	g5	1.06968004434785
g15	g5	1.0
g17	g11	0.906510505448116
g17	g12	0.7782321190512049
g14	g10	0.693711433441502
g15	g6	0.686659391880242
g1	g6	0.683595291043159
g14	g11	0.611348352865102
g1	g8	0.5406710259448351
g17	g10	0.5402692535065129
g16	g8	0.40071608465537195
g18	g2	0.35168734464768997
g2	g4	0.351148246147632
g14	g9	0.32532640259787604
g14	g13	0.266939752641689
g2	g5	0.256679082662172
g16	g9	0.24429190245479399
g10	g11	0.230775732224457
g10	g12	0.22842515859007198
g4	g5	0.22529552449892398
g14	g12	0.22501500688920104
g1	g9	0.21345939221988897
g5	g6	0.21130191844521398
g9	g10	0.20825146564731897
g17	g13	0.205735135109054
g16	g11	0.198358604740833
g9	g11	0.19330968807445298
g3	g4	0.18800458203845602
g8	g9	0.187533924601598
g14	g17	0.18354435800979899
g3	g5	0.18164527176875603
g11	g12	0.17361133302474901
g2	g3	0.17274736811092303
g7	g8	0.17032890503390902
g1	g3	0.170173623791301
g13	g4	0.169619055364664
g8	g8	0.16362690686187803
g4	g6	0.153995580143613
g9	g9	0.151566963817403
g6	g8	0.146819836823708
g4	g4	0.140635496697849
g16	g12	0.13918477965318804
g12	g13	0.13279997254479303
g13	g5	0.132640483432158
g12	g12	0.13085550057444
g15	g2	0.13082755953123199
g1	g5	0.12420431658211999
g16	g10	0.119467613139315
g8	g10	0.11776644703822699
g10	g10	0.114804099859524
g11	g11	0.110674852875642
g11	g13	0.108792667752385
g5	g5	0.10725776576946301
g9	g8	0.102354527798809
g15	g13	0.101149889901263
g7	g9	0.10002432964311099
g6	g6	0.0981079996258721
g10	g13	0.0967798061728665
g13	g2	0.0944205296997932
g1	g17	0.0929444978271377
g13	g12	0.0905265166622899
g13	g13	0.0888754335407238
g1	g10	0.0862516950362956
g3	g3	0.0825956579160425
g9	g12	0.079481551979786
g18	g12	0.0692168254544128
g4	g3	0.0631161784638133
g17	g17	0.0554260659210771
g6	g9	0.05336309994834901
g8	g11	0.0502165816261564
g5	g8	0.0487628976175838
g3	g6	0.0456984958891732
g9	g17	0.0456250265087649
g8	g17	0.0308117160636605
g9	g13	0.0306506676190933
g2	g13	0.0238412623377674
g13	g6	0.0224835895966516
g12	g11	0.0200244540361463
g16	g3	0.0184666117894898
g1	g4	0.0171164584348971
g10	g17	0.0168066162151757
g5	g2	0.016298327083967
g11	g2	0.0152642268851041
g12	g2	0.0144584519348399
g4	g2	0.0127279064287585
g1	g2	0.00756654278148537
g5	g3	0.0064714374611863105
g15	g1	0.00640793927413647
g1	g16	0.00412640143655054
g10	g2	0.00298242092801575
g18	g1	0.00269750740977983
g13	g15	0.00135066224951993
g18	g16	0.00103992840748834
g12	g15	0.000861173065963758
g13	g17	0.000839114505897159
g14	g15	0.000723787185029475
g18	g15	0.000663845306668896
g11	g15	0.000547512735694934
g4	g1	0.000421784742005841
g5	g16	0.00031707452110832097
g5	g1	0.000311620256502361
g2	g15	0.000304171717659801
g9	g16	0.000268735505948246
g6	g16	0.000214731672466431
g10	g15	0.00020343590009588302
g8	g16	0.000166823845058025
g3	g1	0.00016189156552266
g4	g16	8.328631596038679e-05
g3	g15	5.6745214579790697e-05
g7	g1	4.71207280155756e-05
g8	g1	3.19372170565675e-05
g1	g15	1.1487857055030099e-05
g6	g1	3.57234682104673e-06
g1	g7	1.41201225453801e-35
g18	g7	8.955451514585938e-36
g16	g7	3.90324589861793e-36
g14	g14	2.65695875266207e-36
g6	g7	2.47912359243415e-36
g5	g7	2.42084580313329e-36
g13	g14	1.4551616121899297e-36
g12	g14	1.33178738497123e-36
g7	g7	1.03792310478481e-36
g11	g14	8.9523484700684e-37
g18	g14	7.50659474260895e-37
g4	g7	5.951303764015779e-37
g15	g18	5.522439636268001e-37
g16	g18	4.91394479180216e-37
g10	g14	4.52570267604679e-37
g2	g18	4.25792833903808e-37
g17	g18	3.62283111652971e-37
g8	g14	2.54365888669968e-37
g3	g18	2.12765283309471e-37
g4	g18	1.6917876035294798e-37
g7	g14	1.0086374027325699e-37
g9	g14	7.139234758207179e-38
g10	g18	9.509289473429399e-39
g8	g3	0.0
g9	g3	0.0
g10	g4	0.0
g11	g4	0.0
g12	g4	0.0
g14	g4	0.0
g15	g4	0.0
g16	g4	0.0
g18	g4	0.0
g17	g4	0.0
g16	g5	0.0
g5	g4	0.0
g6	g4	0.0
g7	g4	0.0
g8	g4	0.0
g9	g4	0.0
g10	g5	0.0
g11	g5	0.0
g12	g5	0.0
g14	g5	0.0
g6	g3	0.0
g7	g3	0.0
g8	g2	0.0
g18	g3	0.0
g3	g2	0.0
g5	g18	0.0
g6	g18	0.0
g7	g18	0.0
g8	g18	0.0
g9	g18	0.0
g14	g2	0.0
g16	g2	0.0
g17	g2	0.0
g2	g2	0.0
g6	g2	0.0
g17	g3	0.0
g7	g2	0.0
g6	g5	0.0
g9	g2	0.0
g10	g3	0.0
g11	g3	0.0
g12	g3	0.0
g13	g3	0.0
g14	g3	0.0
g15	g3	0.0
g17	g5	0.0
g2	g6	0.0
g7	g5	0.0
g4	g8	0.0
g11	g8	0.0
g12	g8	0.0
g13	g8	0.0
g14	g8	0.0
g15	g8	0.0
g17	g8	0.0
g18	g8	0.0
g2	g8	0.0
g3	g8	0.0
g10	g9	0.0
g8	g5	0.0
g11	g9	0.0
g12	g9	0.0
g13	g9	0.0
g15	g9	0.0
g17	g9	0.0
g18	g9	0.0
g2	g9	0.0
g3	g9	0.0
g4	g9	0.0
g10	g8	0.0
g9	g7	0.0
g8	g7	0.0
g3	g7	0.0
g9	g5	0.0
g10	g6	0.0
g11	g6	0.0
g12	g6	0.0
g14	g6	0.0
g16	g6	0.0
g17	g6	0.0
g7	g6	0.0
g8	g6	0.0
g9	g6	0.0
g10	g7	0.0
g11	g7	0.0
g12	g7	0.0
g13	g7	0.0
g14	g7	0.0
g15	g7	0.0
g17	g7	0.0
g14	g18	0.0
g2	g7	0.0
g18	g18	0.0
g2	g11	0.0
g13	g18	0.0
g2	g12	0.0
g15	g11	0.0
g18	g11	0.0
g3	g11	0.0
g4	g11	0.0
g5	g11	0.0
g6	g11	0.0
g7	g11	0.0
g1	g12	0.0
g15	g12	0.0
g3	g12	0.0
g5	g13	0.0
g4	g12	0.0
g5	g12	0.0
g6	g12	0.0
g7	g12	0.0
g8	g12	0.0
g1	g13	0.0
g16	g13	0.0
g18	g13	0.0
g3	g13	0.0
g13	g11	0.0
g1	g11	0.0
g7	g10	0.0
g6	g10	0.0
g1	g1	0.0
g10	g1	0.0
g11	g1	0.0
g12	g1	0.0
g13	g1	0.0
g14	g1	0.0
g16	g1	0.0
g17	g1	0.0
g2	g1	0.0
g9	g1	0.0
g11	g10	0.0
g12	g10	0.0
g13	g10	0.0
g15	g10	0.0
g18	g10	0.0
g2	g10	0.0
g3	g10	0.0
g4	g10	0.0
g5	g10	0.0
g4	g13	0.0
g6	g13	0.0
g12	g18	0.0
g15	g17	0.0
g14	g16	0.0
g15	g16	0.0
g16	g16	0.0
g17	g16	0.0
g2	g16	0.0
g3	g16	0.0
g7	g16	0.0
g11	g17	0.0
g12	g17	0.0
g16	g17	0.0
g7	g13	0.0
g18	g17	0.0
g2	g17	0.0
g3	g17	0.0
g4	g17	0.0
g5	g17	0.0
g6	g17	0.0
g7	g17	0.0
g1	g18	0.0
g11	g18	0.0
g13	g16	0.0
g12	g16	0.0
g11	g16	0.0
g10	g16	0.0
g8	g13	0.0
g1	g14	0.0
g15	g14	0.0
g16	g14	0.0
g17	g14	0.0
g2	g14	0.0
g3	g14	0.0
g4	g14	0.0
g5	g14	0.0
g6	g14	0.0
g15	g15	0.0
g16	g15	0.0
g17	g15	0.0
g4	g15	0.0
g5	g15	0.0
g6	g15	0.0
g7	g15	0.0
g8	g15	0.0
g9	g15	0.0
g5	g9	0.0
