Regulator	Target	SINGE_Score
g17	g4	6
g17	g5	1.5
g17	g9	0.66666
g17	g6	0.375
g16	g4	0.24
g15	g5	0.16666
g15	g7	0.12244
g17	g3	0.09375
g16	g5	0.07407
g18	g4	0.06
g16	g6	0.04958
g15	g8	0.04166
g17	g7	0.0355
g17	g8	0.03061
g15	g4	0.02666
g18	g3	0.02343
g16	g11	0.02076
g15	g12	0.01851
g18	g8	0.01662
g18	g5	0.015
g16	g12	0.0136
g17	g10	0.01239
g15	g6	0.01134
g16	g7	0.01041
g16	g3	0.0096
g15	g11	0.00887
g16	g1	0.00823
g14	g9	0.00765
g17	g1	0.00713
g18	g7	0.00624
g15	g10	0.00585
g14	g4	0.0055
g14	g8	0.00519
g18	g9	0.00489
g18	g13	0.00462
g15	g3	0.00438
g17	g11	0.00415
g16	g8	0.00394
g14	g7	0.00375
g1	g7	0.00356
g14	g3	0.0034
g15	g9	0.00324
g18	g6	0.00296
g1	g6	0.00283
g1	g3	0.00271
g13	g11	0.0026
g14	g6	0.0024
g1	g10	0.0023
g18	g12	0.00221
g17	g2	0.00213
g14	g10	0.00205
g1	g4	0.00198
g18	g11	0.00191
g12	g10	0.00184
g2	g12	0.00172
g2	g8	0.00166
g13	g8	0.00161
g16	g10	0.00156
g18	g1	0.00151
g1	g9	0.00146
g14	g13	0.00137
g13	g9	0.00133
g12	g9	0.00129
g12	g8	0.00126
g2	g11	0.00122
g14	g5	0.00115
g1	g2	0.00109
g13	g4	0.00106
g2	g5	0.00103
g16	g13	0.00101
g3	g11	0.00098
g5	g7	0.00091
g7	g5	0.00089
g4	g6	0.00087
g1	g5	0.00085
g14	g11	0.00083
g16	g9	0.00081
g14	g1	0.00079
g13	g10	0.00077
g15	g1	0.00075
g13	g14	0.00074
g2	g10	0.00067
g2	g13	0.00066
g5	g9	0.00065
g5	g6	0.00063
g16	g2	0.00061
g3	g10	0.00058
g4	g12	0.00057
g2	g3	0.00056
g4	g11	0.00055
g10	g6	0.00053
g5	g10	0.00052
g7	g6	0.00051
g1	g13	0.0005
g7	g4	0.00049
g10	g8	0.00048
g5	g8	0.00047
g7	g9	0.00046
g3	g9	0.00046
g1	g8	0.00045
g13	g6	0.00044
g12	g11	0.00043
g13	g15	0.00043
g9	g5	0.00042
g9	g3	0.00041
g2	g7	0.0004
g1	g11	0.00039
g12	g4	0.00039
g7	g2	0.00038
g12	g5	0.00037
g1	g12	0.00037
g13	g7	0.00036
g5	g11	0.00036
g2	g4	0.00035
g10	g12	0.00034
g2	g14	0.00034
g4	g7	0.00033
g5	g3	0.00033
g3	g4	0.00032
g7	g12	0.00031
g3	g12	0.00031
g6	g2	0.00031
g5	g13	0.0003
g10	g4	0.00029
g10	g1	0.00029
g5	g1	0.00028
g11	g7	0.00028
g2	g1	0.00028
g5	g12	0.00027
g4	g10	0.00027
g2	g6	0.00027
g8	g6	0.00026
g6	g4	0.00026
g9	g6	0.00025
g3	g6	0.00025
g12	g7	0.00025
