TF	target	importance
g6	g7	0.5013076596811137
g7	g6	0.49505333901952814
g8	g4	0.4661422964731222
g4	g8	0.4241995755286483
g2	g1	0.4147218696384863
g1	g2	0.41307656716081154
g2	g3	0.3712436821513633
g3	g2	0.2384977880019513
g7	g5	0.18702135350955548
g4	g5	0.17813104660861306
g5	g8	0.16796386593714938
g7	g1	0.1655785711119538
g1	g5	0.1620830897572137
g6	g5	0.16125046018358363
g8	g5	0.15627505767623032
g5	g4	0.15381018035396365
g5	g7	0.14806757464070158
g1	g3	0.14264897371072427
g5	g3	0.13951182629154188
g5	g6	0.13908847414862577
g1	g7	0.12748709442848707
g4	g3	0.1267911995334502
g6	g8	0.12389195225051355
g1	g8	0.11008562787974546
g2	g5	0.10978440333483531
g6	g4	0.10726145650834769
g5	g1	0.10609424985161696
g4	g6	0.10206205540716964
g8	g6	0.10041496019476412
g4	g7	0.0985140941669733
g7	g4	0.09693217753501472
g6	g1	0.0920486336430058
g6	g3	0.09059418636242841
g8	g1	0.08978499720869673
g1	g4	0.08682573692760706
g7	g2	0.08351115632914498
g1	g6	0.08180478141029943
g7	g8	0.07978286531951981
g5	g2	0.07100198839504365
g4	g1	0.06842176666335066
g6	g2	0.06647976599091808
g8	g2	0.06582837798681163
g7	g3	0.06503647911788953
g2	g8	0.06433616802934061
g8	g3	0.06417365283260247
g3	g1	0.06334991188288978
g4	g2	0.061604356135318804
g8	g7	0.05992207422347411
g2	g6	0.05183420155080064
g2	g4	0.05019103659266456
g2	g7	0.049191261749972404
g3	g5	0.04545458892996864
g3	g4	0.03883711560928009
g3	g6	0.029742188268812274
g3	g8	0.029739945055082862
g3	g7	0.015510241109277905
