TF	target	importance
g8	g4	406.20674202515346
g7	g6	353.71622598800917
g2	g1	301.40193967220756
g6	g7	295.4365330778028
g4	g8	294.7284604588904
g7	g5	289.7474888060311
g2	g3	255.24090382454514
g6	g5	238.1351814042248
g1	g2	235.0891747579342
g8	g5	193.26983701493262
g4	g5	182.76728409469538
g7	g1	154.23160956665308
g1	g5	136.11342592324664
g3	g2	133.6854711762381
g5	g7	120.09799683719346
g5	g6	102.95025300113554
g2	g5	102.89241319341093
g1	g3	101.30503641589775
g5	g3	98.40666363111097
g5	g4	93.93688509723084
g4	g3	92.71825648355977
g6	g4	88.51186851561327
g7	g4	87.57393541300756
g5	g1	85.45715749437315
g6	g1	83.49395032105109
g1	g7	82.51964226355832
g5	g8	81.83569010274081
g8	g1	81.1802036314654
g8	g6	69.67454853223433
g4	g6	67.91549986923766
g4	g7	67.60420256640185
g6	g8	65.90440552931503
g8	g7	63.73042987942895
g3	g5	61.07436956345862
g4	g1	56.83827346595082
g3	g1	54.39686584829884
g1	g4	51.374328167291075
g1	g8	49.55180312792393
g6	g2	48.9296864362189
g7	g8	48.16459344285748
g2	g7	47.29698992003249
g7	g2	46.63438549086394
g6	g3	43.45971949173043
g2	g4	42.38879091089621
g1	g6	42.32574391958543
g5	g2	40.07935437129607
g4	g2	35.54604551639504
g7	g3	32.77793397518575
g8	g3	31.091486177970197
g3	g4	30.00744987080749
g2	g8	28.04670346324578
g2	g6	25.93269901933691
g8	g2	24.035882251053774
g3	g6	15.485029670461001
g3	g7	10.314205455582128
g3	g8	8.7683438750265
