Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.655020	1.000000	0.848560
g2	+	g1	0.299775	1.000000	0.388350
g3	-	g1	-0.018572	0.037782	-0.000909
g4	-	g1	-0.056231	0.178365	-0.012993
g5	-	g1	-0.387581	1.000000	-0.502100
g6	-	g1	-0.086463	0.253519	-0.028397
g7	-	g1	-0.007591	0.062253	-0.000612
g8	+	g1	0.111038	0.527849	0.075929
g1	+	g2	0.378083	1.000000	0.489796
g2	+	g2	0.675617	1.000000	0.875243
g3	+	g2	0.296563	0.999999	0.384189
g4	+	g2	0.071870	0.141889	0.013211
g5	-	g2	-0.175908	0.593957	-0.135353
g6	-	g2	-0.039011	0.118518	-0.005990
g7	-	g2	-0.062282	0.182212	-0.014702
g8	+	g2	0.133438	0.033799	0.005843
g1	-	g3	-0.221932	0.980197	-0.281814
g2	+	g3	0.432182	1.000000	0.559880
g3	+	g3	0.771920	1.000000	1.000000
g4	+	g3	0.162984	0.307046	0.064830
g5	+	g3	0.208259	0.512070	0.138153
g6	-	g3	-0.013064	0.071647	-0.001213
g7	+	g3	0.005855	0.061899	0.000470
g8	+	g3	0.131604	0.008330	0.001420
g1	-	g4	-0.096687	0.466719	-0.058459
g2	+	g4	0.170808	0.999831	0.221239
g3	+	g4	0.108605	0.890237	0.125251
g4	+	g4	0.234193	0.995047	0.301888
g5	+	g4	0.311016	1.000000	0.402912
g6	+	g4	0.015268	0.066464	0.001315
g7	+	g4	0.015928	0.066582	0.001374
g8	-	g4	-0.019492	0.071378	-0.001802
g1	-	g5	-0.123458	0.840050	-0.134355
g2	+	g5	0.194524	0.999997	0.251999
g3	+	g5	0.098346	0.687864	0.087637
g4	+	g5	0.257876	0.999010	0.333741
g5	+	g5	0.294396	0.999987	0.381376
g6	+	g5	0.017439	0.071137	0.001607
g7	+	g5	0.008627	0.051273	0.000573
g8	-	g5	-0.013926	0.060351	-0.001089
g1	-	g6	-0.096628	0.183882	-0.023018
g2	-	g6	-0.096525	0.243567	-0.030457
g3	-	g6	-0.028758	0.047792	-0.001781
g4	+	g6	0.215961	0.630743	0.176464
g5	+	g6	0.465211	1.000000	0.602667
g6	+	g6	0.462755	1.000000	0.599486
g7	+	g6	0.607148	1.000000	0.786543
g8	+	g6	0.370750	1.000000	0.480296
g1	+	g7	0.513843	0.000000	0.000000
g2	-	g7	-0.138172	0.493486	-0.088333
g3	-	g7	-0.087642	0.203325	-0.023085
g4	+	g7	0.134509	0.277348	0.048329
g5	+	g7	0.300317	0.982098	0.382088
g6	+	g7	0.407959	1.000000	0.528499
g7	+	g7	0.659269	1.000000	0.854064
g8	+	g7	0.390192	0.999999	0.505481
g1	+	g8	0.505346	1.000000	0.654661
g2	+	g8	0.174378	0.856958	0.193588
g3	+	g8	0.012453	0.027215	0.000439
g4	+	g8	0.030946	0.122720	0.004920
g5	-	g8	-0.225509	0.915971	-0.267592
g6	+	g8	0.307576	0.999968	0.398443
g7	+	g8	0.493179	1.000000	0.638899
g8	+	g8	0.569309	1.000000	0.737524
