Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g8	1.0
g1	g1	1.0
g8	g1	1.0
g2	g2	1.0
g8	g2	1.0
g2	g3	1.0
g3	g3	1.0
g4	g4	1.0
g2	g1	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g1	g8	1.0
g8	g8	1.0
g7	g8	1.0
g1	g1	1.0
g1	g2	1.0
g2	g2	1.0
g3	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g8	g5	1.0
g6	g6	1.0
g7	g7	1.0
g1	g8	1.0
g5	g8	1.0
g8	g8	1.0
g8	g8	1.0
g2	g3	1.0
g8	g6	1.0
g5	g4	1.0
g1	g8	1.0
g6	g6	1.0
g3	g3	1.0
g7	g6	1.0
g5	g6	1.0
g2	g2	1.0
g1	g2	1.0
g5	g1	1.0
g6	g7	1.0
g7	g7	1.0
g8	g7	0.999999
g2	g5	0.9999969999999999
g6	g8	0.9999680000000001
g2	g4	0.9998309999999999
g6	g4	0.999819
g7	g4	0.999817
g4	g5	0.999769
g7	g5	0.9995069999999999
g1	g6	0.9975120000000001
g6	g2	0.9959290000000001
g2	g6	0.9872569999999999
g4	g8	0.9854950000000001
g5	g2	0.9839389999999999
g5	g7	0.9820979999999999
g1	g3	0.980197
g4	g6	0.9789030000000001
g2	g7	0.978187
g3	g4	0.9521930000000001
g4	g3	0.940312
g1	g5	0.84005
g6	g1	0.808351
g7	g1	0.781574
g5	g3	0.750207
g3	g5	0.687864
g1	g7	0.634073
g7	g3	0.493436
g4	g7	0.48188500000000006
g1	g4	0.46671899999999994
g8	g3	0.46542
g6	g3	0.356928
g3	g6	0.25633
g6	g5	0.23091199999999998
g3	g7	0.203325
g7	g2	0.18221199999999999
g4	g1	0.178365
g4	g2	0.14188900000000002
g8	g4	0.076237
g3	g8	0.040093000000000004
g3	g1	0.037781999999999996
