Gene1	Gene2	corVal	pValue
g1	g1	1	0
g2	g2	1	0
g3	g3	1	0
g4	g4	1	0
g5	g5	1	0
g6	g6	1	0
g7	g7	1	0
g8	g8	1	0
g7	g6	0.693666175501181	3.74569161828222e-286
g6	g7	0.693666175501181	3.74569161828222e-286
g1	g2	0.571566025589466	2.50261968434883e-173
g2	g1	0.571566025589465	2.50261968434969e-173
g3	g2	0.45316023772271	1.47247426455144e-101
g2	g3	0.45316023772271	1.47247426455169e-101
g8	g5	0.304710222382272	4.12516255671847e-44
g5	g8	0.304710222382272	4.12516255671847e-44
g5	g3	0.219901841079543	2.9246220577278e-23
g3	g5	0.219901841079543	2.9246220577278e-23
g3	g4	0.212886334456792	7.20684991137442e-22
g4	g3	0.212886334456792	7.20684991137473e-22
g8	g6	0.20408906617339	3.42403368892237e-20
g6	g8	0.20408906617339	3.42403368892247e-20
g6	g1	0.114883884479519	2.69131030546799e-07
g1	g6	0.114883884479519	2.69131030546801e-07
g1	g8	0.0820033894029334	0.000246685408247854
g8	g1	0.0820033894029334	0.000246685408247855
g4	g6	0.0707792173737677	0.00156379792794861
g6	g4	0.0707792173737676	0.00156379792794862
g3	g7	0.0698047219351994	0.00181511369437729
g7	g3	0.0698047219351994	0.00181511369437729
g6	g3	0.0602114542142994	0.00715698130914157
g3	g6	0.0602114542142993	0.00715698130914161
g4	g5	0.060137996892585	0.00722777757877617
g5	g4	0.060137996892585	0.00722777757877619
g2	g6	0.0245790336376513	0.272625988312345
g6	g2	0.0245790336376513	0.272625988312345
g3	g8	0.0211215140525948	0.345845313411867
g8	g3	0.0211215140525948	0.345845313411867
g1	g4	0.00176135486520072	0.93734865456571
g4	g1	0.00176135486520072	0.937348654565711
g2	g8	0.00122484278141342	0.956409232308581
g8	g2	0.00122484278141342	0.956409232308581
g3	g1	-0.0102889551454182	0.646112528249108
g1	g3	-0.0102889551454183	0.646112528249106
g5	g2	-0.0181762832418032	0.41724741659165
g2	g5	-0.0181762832418032	0.417247416591649
g7	g8	-0.0312917446509508	0.162481390586267
g8	g7	-0.0312917446509508	0.162481390586266
g4	g2	-0.0377926519236646	0.0915752548468126
g2	g4	-0.0377926519236646	0.0915752548468124
g7	g2	-0.0640641505725246	0.00421134511778125
g2	g7	-0.0640641505725246	0.00421134511778124
g6	g5	-0.091274167412734	4.46990226126993e-05
g5	g6	-0.091274167412734	4.46990226126989e-05
g5	g1	-0.11296258592853	4.25259679414549e-07
g1	g5	-0.11296258592853	4.25259679414546e-07
g7	g4	-0.177803996652614	1.25909292120021e-15
g4	g7	-0.177803996652614	1.25909292120019e-15
g5	g7	-0.193814300913625	2.49932622729345e-18
g7	g5	-0.193814300913625	2.49932622729334e-18
g1	g7	-0.212396861454568	8.97493823457151e-22
g7	g1	-0.212396861454568	8.97493823457125e-22
g4	g8	-0.472627831813102	1.68398143943219e-111
g8	g4	-0.472627831813102	1.68398143943185e-111
