Gene1	Gene2	EdgeWeight
g1	g1	1.0
g2	g2	1.0
g3	g3	1.0
g4	g4	1.0
g5	g5	1.0
g6	g6	1.0
g7	g7	1.0
g8	g8	1.0
g7	g6	0.693666175501181
g6	g7	0.693666175501181
g1	g2	0.5715660255894661
g2	g1	0.571566025589465
g4	g8	-0.4726278318131021
g8	g4	-0.4726278318131021
g3	g2	0.45316023772271
g2	g3	0.45316023772271
g5	g8	0.30471022238227197
g8	g5	0.30471022238227197
g3	g5	0.219901841079543
g5	g3	0.219901841079543
g3	g4	0.21288633445679198
g4	g3	0.21288633445679198
g7	g1	-0.212396861454568
g1	g7	-0.212396861454568
g6	g8	0.20408906617339
g8	g6	0.20408906617339
g7	g5	-0.19381430091362498
g5	g7	-0.19381430091362498
g4	g7	-0.17780399665261398
g7	g4	-0.17780399665261398
g1	g6	0.114883884479519
g6	g1	0.114883884479519
g1	g5	-0.11296258592853001
g5	g1	-0.11296258592853001
g6	g5	-0.09127416741273402
g5	g6	-0.09127416741273402
g1	g8	0.0820033894029334
g8	g1	0.0820033894029334
g4	g6	0.0707792173737677
g6	g4	0.0707792173737676
g7	g3	0.0698047219351994
g3	g7	0.0698047219351994
g2	g7	-0.0640641505725246
g7	g2	-0.0640641505725246
g6	g3	0.0602114542142994
g3	g6	0.0602114542142993
g5	g4	0.060137996892585
g4	g5	0.060137996892585
g2	g6	0
g6	g2	0
g3	g8	0
g8	g3	0
g1	g4	0
g4	g1	0
g2	g8	0
g8	g2	0
g3	g1	0
g1	g3	0
g5	g2	0
g2	g5	0
g7	g8	0
g8	g7	0
g4	g2	0
g2	g4	0
