Gene1	Gene2	EdgeWeight
g8	g7	1.3112993152368
g8	g4	1.07167389327878
g7	g6	1.0
g7	g6	1.0
g8	g5	1.0
g7	g5	0.9881072129025529
g7	g1	0.980488778823458
g7	g4	0.9675338259305029
g1	g2	0.922272879479096
g8	g1	0.9133994133898949
g6	g2	0.9029174463626859
g4	g2	0.830112278238727
g4	g4	0.720537538078631
g4	g1	0.7111628141539229
g4	g6	0.6931464621753121
g5	g1	0.661713298306937
g6	g1	0.659417081314603
g6	g4	0.650734739033895
g5	g6	0.646995346053763
g6	g6	0.628109042999702
g5	g4	0.627079996194849
g7	g8	0.561907560046739
g2	g3	0.54434736150911
g3	g4	0.54116492097354
g1	g4	0.531799630477198
g3	g6	0.529067995498347
g8	g6	0.525206103151521
g1	g6	0.5220884413316121
g1	g1	0.518237715019159
g3	g5	0.494028338322925
g3	g1	0.492064272628228
g5	g2	0.42786720139018797
g7	g7	0.38354394508431205
g8	g3	0.38255861498989
g4	g5	0.37088419358613106
g7	g2	0.36257992043673404
g5	g5	0.35759308349336105
g6	g5	0.352272070097971
g4	g8	0.34187021431436404
g6	g7	0.32356752109798803
g4	g7	0.305080994298051
g5	g7	0.303410600050653
g5	g8	0.28987189854453
g6	g8	0.280984109949976
g8	g2	0.268738413344585
g3	g7	0.23999433696470898
g2	g2	0.21924972943771698
g7	g3	0.206389812052498
g2	g4	0.18425322120592802
g1	g8	0.171982067011851
g1	g5	0.16420597894324898
g2	g6	0.13525488303496602
g3	g3	0.131185813908229
g4	g3	0.0781279090846809
g2	g1	0.0647126939879767
g8	g8	0.0611903020603547
g6	g3	0.0589230032642527
g1	g7	0.0568704512616173
g1	g3	0.0507811132657502
g3	g8	0.048198157361774
g2	g8	0.0415589899507756
g2	g7	0.0391985056843248
g2	g5	0.00662710236505486
g5	g3	3.17265516238464e-36
g3	g2	0.0
g3	g2	0.0
g3	g2	0.0
