Regulator	Target	SINGE_Score
g1	g2	6
g1	g3	1.5
g5	g3	0.375
g8	g1	0.24
g8	g4	0.16666
g6	g3	0.09375
g7	g8	0.07407
g1	g8	0.06
g1	g6	0.04958
g8	g3	0.04166
g1	g5	0.0355
g2	g8	0.03061
g5	g4	0.02666
g6	g2	0.02343
g7	g6	0.02076
g2	g3	0.01851
g8	g2	0.01662
g1	g4	0.0136
g8	g5	0.01239
g7	g2	0.01134
g5	g2	0.01041
g6	g4	0.00887
g6	g5	0.00823
g6	g8	0.00765
g7	g3	0.00713
g4	g8	0.00666
g7	g5	0.00585
g8	g6	0.0055
g7	g1	0.00519
g7	g4	0.00462
g4	g2	0.00438
g5	g6	0.00415
g4	g1	0.00375
g4	g3	0.00356
g2	g1	0.0034
g4	g6	0.00324
g5	g7	0.00309
g3	g4	0.00296
g3	g5	0.00283
g6	g7	0.00271
g3	g2	0.0026
g4	g5	0.00249
g5	g8	0.0023
g3	g8	0.00221
g3	g1	0.00213
g2	g5	0.00205
g6	g1	0.00198
g2	g6	0.00191
g2	g4	0.00184
g3	g6	0.00178
g3	g7	0.00172
g5	g1	0.00166
