Gene1	Gene2	EdgeWeight
g8	g1	6.0
g7	g1	6.0
g1	g2	6.0
g1	g3	1.5
g6	g7	1.5
g7	g2	1.5
g5	g3	0.66666
g8	g2	0.66666
g8	g7	0.375
g7	g3	0.24
g6	g2	0.16666
g8	g4	0.16666
g8	g3	0.16666
g5	g2	0.12244000000000001
g8	g6	0.09375
g6	g3	0.09375
g7	g5	0.07407000000000001
g3	g2	0.07407000000000001
g7	g8	0.07407000000000001
g7	g6	0.06
g6	g1	0.06
g1	g8	0.06
g1	g6	0.04958
g1	g5	0.0355
g2	g5	0.0355
g7	g4	0.030610000000000002
g2	g8	0.030610000000000002
g4	g3	0.030610000000000002
g5	g4	0.026660000000000003
g4	g7	0.026660000000000003
g5	g1	0.02343
g8	g5	0.01851
g2	g3	0.01851
g2	g6	0.01851
g4	g5	0.015
g3	g7	0.0136
g1	g4	0.0136
g4	g6	0.01239
g5	g6	0.010409999999999999
g2	g1	0.0096
g6	g4	0.008870000000000001
g6	g5	0.00823
g5	g7	0.00765
g6	g8	0.00765
g4	g1	0.00713
g4	g8	0.006659999999999999
g3	g6	0.006659999999999999
g3	g8	0.0055
g3	g1	0.0055
g5	g8	0.00519
g2	g4	0.00519
g4	g2	0.00489
g3	g4	0.004379999999999999
g3	g5	0.0034
g1	g7	0.00249
